,text
128,"Around 22 miles on the @TPT_National and Holderness am. 3hours 45mins Solo run, cool showery conditions. 300ml High 5 Orange, 2 x gels. Nike Pegasus Zoom turbo. @thehullmarathon @YorkshireMara @runforall @NikeRunning @MrHairyHaggis #earthathon #ukrunchat #runchat #runr"
129,Few shoes I think that are super comfy and wouldn't mind getting are 1. Nike Zoom Pegasus Turbo 2. Nike Element 87 3. Nike EXP 14 4. Nike Epic React
130,Nike Air Zoom Pegasus 35 Turbo 2. 0 Light Pink Grey Unisex Running Shoes https://www.nikeline.com/nike-air-zoom-pegasus-35-turbo-2-0-light-pink-grey-unisex-running-shoes-p-6203.html#.W3Tfrkwx7OY.twitter
131,Nike Air Zoom Pegasus 35 Turbo 2. 0 Grey Green Unisex Running Shoes https://www.nikeline.com/nike-air-zoom-pegasus-35-turbo-2-0-grey-green-unisex-running-shoes-p-6202.html#.W3TfAWGtKLI.twitter
132,Trust me... these will be your best buy this week! The Zoom X Pegasus Turbo in 2 colorways here Nike http://bit.ly/2KjNypR JR http://bit.ly/2NXespK
133,"Nike WMNS Zoom Pegasus Turbo Barely Grey release on Aug 2, 2018 for $180 via @kicksonfire #KoFapp"
134,Nike Zoom Pegasus 35 Turbo “Grey” drops in 2 minutes EB https://bit.ly/2Aw2YrK FNL https://bit.ly/2OEcLPm FTL https://bit.ly/2KjmVSc Nike https://bit.ly/2KjoG1K
135,"👀 Featuring a mix of both React &amp; ZoomX cushioning, more pairs for the NEW barely grey/hot punch Nike Zoom Pegasus 35 Turbo will be available in the morning (8/2) at 10 am ET. 🙌🏻🔥 "
136,Release Date: Nike Zoom Pegasus Turbo ” Mica Green ” Debuts 8/2 http://bit.ly/2M9jOxX
137,Release Date: Nike Zoom Pegasus Turbo ” Mica Green ” Debuts 8/2 http://bit.ly/2M9jOxX
138,Release Date: Nike Zoom Pegasus Turbo ” Mica Green ” Debuts 8/2 http://bit.ly/2M9jOxX
139,"Pegasus.Turbocharged. The new Nike Zoom Pegasus Turbo, featuring the same Nike ZoomX foam as the Vaporfly 4%. Available in store tomorrow 8/2. * * * * #fleetfeet… https://www.instagram.com/p/Bl8CZeHlnzH/?utm_source=ig_twitter_share&amp;igshid=m3js77wqh4ya"
